date,daily_readiness_score,daily_sleep_score,daily_activity_score
2026-03-31,83,80,88
2026-03-30,79,73,95
2026-03-29,90,81,93
2026-03-28,89,89,79
2026-03-27,86,77,71
2026-03-26,88,85,89
2026-03-25,81,81,90
2026-03-24,85,74,93
2026-03-23,81,81,85
2026-03-22,82,90,87
2026-03-21,78,74,81
2026-03-20,86,81,80
2026-03-19,85,83,85
2026-03-18,86,82,86
2026-03-17,82,77,80
2026-03-16,85,81,80
2026-03-15,81,77,84
2026-03-14,84,88,90
2026-03-13,79,73,87
2026-03-12,64,67,87
2026-03-11,78,87,82
2026-03-10,74,74,84
2026-03-09,79,82,93
2026-03-08,77,71,89
2026-03-07,80,79,85
2026-03-06,78,80,80
2026-03-05,81,75,88
2026-03-04,79,82,94
2026-03-03,83,82,98
2026-03-02,86,90,92
2026-03-01,73,65,92
